SRNumber,CreatedDate,UpdatedDate,ActionTaken,Owner,RequestType,Status,RequestSource,MobileOS,Anonymous,AssignTo,ServiceDate,ClosedDate,AddressVerified,ApproximateAddress,Address,HouseNumber,Direction,StreetName,Suffix,ZipCode,Latitude,Longitude,Location,TBMPage,TBMColumn,TBMRow,APC,CD,CDMember,NC,NCName,PolicePrecinct
1-870255971,12/30/2017 02:56:58 PM,01/01/2018 09:22:05 PM,SR Created,BOS,Electronic Waste,Cancelled,Call,,N,EV,01/02/2018 12:00:00 AM,01/01/2018 09:22:04 PM,Y,N,"9957 N STONEHURST AVE, 91352",9957,N,STONEHURST,AVE,91352,34.2509482073,-118.371046349,"(34.2509482073, -118.371046349)",503,A,4,North Valley APC,7,Monica Rodriguez,9,FOOTHILL TRAILS DISTRICT NC,FOOTHILL
1-870254515,12/30/2017 02:56:25 PM,01/06/2018 11:41:19 AM,SR Created,BOS,Bulky Items,Closed,Mobile App,Android,N,EV,01/06/2018 12:00:00 AM,01/06/2018 11:29:25 AM,Y,,"15262 W CHATSWORTH ST, 91345",15262,W,CHATSWORTH,ST,91345,34.2643063648,-118.465017524,"(34.2643063648, -118.465017524)",501,H,3,North Valley APC,7,Monica Rodriguez,101,MISSION HILLS NC,MISSION
1-870254451,12/30/2017 02:55:38 PM,12/31/2017 12:00:04 PM,SR Created,OCB,Graffiti Removal,Closed,Mobile App,Android,Y,KYCC,12/31/2017 11:59:49 AM,12/31/2017 12:00:04 PM,Y,N,"BUDLONG AVE AT SANTA MONICA FRWY, 90007",,,,,90007,34.036978936,-118.296372226,"(34.036978936, -118.296372226)",634,A,6,South Los Angeles APC,1,Gilbert Cedillo,76,PICO UNION NC,SOUTHWEST
1-870254860,12/30/2017 02:55:38 PM,01/04/2018 11:45:26 AM,SR Created,BOS,Bulky Items,Closed,Mobile App,iOS,N,EV,01/04/2018 12:00:00 AM,01/04/2018 11:45:26 AM,Y,,"4143 N ST CLAIR AVE, 91604",4143,N,ST CLAIR,AVE,91604,34.1460692022,-118.399983419,"(34.1460692022, -118.399983419)",562,F,5,South Valley APC,2,Paul Krekorian,27,STUDIO CITY NC,NORTH HOLLYWOOD
1-870254933,12/30/2017 02:55:38 PM,01/02/2018 02:56:53 PM,SR Created,OCB,Graffiti Removal,Closed,Mobile App,iOS,N,NDFY,01/02/2018 02:56:29 PM,01/02/2018 02:56:53 PM,Y,N,"7044 N VARNA AVE, 91605",7044,N,VARNA,AVE,91605,34.1989886279,-118.423995006,"(34.1989886279, -118.423995006)",532,D,5,South Valley APC,2,Paul Krekorian,22,NOHO WEST NC,NORTH HOLLYWOOD
1-870249751,12/30/2017 02:54:51 PM,01/05/2018 01:53:26 PM,SR Created,BOS,Electronic Waste,Closed,Call,,N,WLA,01/05/2018 12:00:00 AM,01/05/2018 01:53:25 PM,Y,N,"1253 S CRESCENT HEIGHTS BLVD, 90035",1253,S,CRESCENT HEIGHTS,BLVD,90035,34.0531281621,-118.372020881,"(34.0531281621, -118.372020881)",633,A,4,Central APC,5,Paul Koretz,60,P.I.C.O. NC,WILSHIRE
1-870254341,12/30/2017 02:54:50 PM,01/01/2018 09:29:52 PM,SR Created,BOS,Metal/Household Appliances,Cancelled,Call,,N,EV,01/02/2018 12:00:00 AM,01/01/2018 09:29:51 PM,Y,N,"9957 N STONEHURST AVE, 91352",9957,N,STONEHURST,AVE,91352,34.2509482073,-118.371046349,"(34.2509482073, -118.371046349)",503,A,4,North Valley APC,7,Monica Rodriguez,9,FOOTHILL TRAILS DISTRICT NC,FOOTHILL
1-870254871,12/30/2017 02:53:20 PM,01/04/2018 01:20:59 PM,SR Created,BOS,Metal/Household Appliances,Closed,Mobile App,iOS,N,WV,01/04/2018 12:00:00 AM,01/04/2018 01:20:58 PM,Y,,"17340 W NORDHOFF ST, 91325",17340,W,NORDHOFF,ST,91325,34.2356448896,-118.513000135,"(34.2356448896, -118.513000135)",501,B,7,North Valley APC,12,Mitchell Englander,124,NORTHRIDGE SOUTH NC,DEVONSHIRE
1-870251683,12/30/2017 02:52:26 PM,01/02/2018 02:49:12 PM,SR Created,OCB,Graffiti Removal,Closed,Mobile App,iOS,N,NDFY,01/02/2018 02:48:50 PM,01/02/2018 02:49:11 PM,Y,N,"7039 N NAGLE AVE, 91605",7039,N,NAGLE,AVE,91605,34.1985729983,-118.424024818,"(34.1985729983, -118.424024818)",532,D,5,South Valley APC,2,Paul Krekorian,22,NOHO WEST NC,NORTH HOLLYWOOD
1-870254151,12/30/2017 02:52:07 PM,01/03/2018 11:10:23 AM,SR Created,BOS,Metal/Household Appliances,Closed,Self Service,,Y,WLA,01/03/2018 12:00:00 AM,01/03/2018 11:08:37 AM,Y,N,"1720 S PACIFIC AVE, 90291",1720,S,PACIFIC,AVE,90291,33.9868232187,-118.471312638,"(33.9868232187, -118.471312638)",671,H,6,West Los Angeles APC,11,Mike Bonin,68,VENICE NC,PACIFIC
1-870251721,12/30/2017 02:52:03 PM,01/04/2018 12:40:33 PM,SR Created,BOS,Bulky Items,Closed,Call,,N,NC,01/04/2018 12:00:00 AM,01/04/2018 12:40:32 PM,Y,N,"505 N BUNKER HILL AVE, 90012",505,N,BUNKER HILL,AVE,90012,34.0606543714,-118.245545178,"(34.0606543714, -118.245545178)",634,F,2,Central APC,1,Gilbert Cedillo,46,HISTORIC CULTURAL NC,CENTRAL
1-870254023,12/30/2017 02:51:54 PM,01/02/2018 01:33:03 PM,SR Created,OCB,Graffiti Removal,Closed,Mobile App,Android,Y,KYCC,01/02/2018 01:31:53 PM,01/02/2018 01:33:03 PM,Y,N,"BUDLONG AVE AT WASHINGTON BLVD, 90007",,,,,90007,34.039975251,-118.296262031,"(34.039975251, -118.296262031)",634,A,5,South Los Angeles APC,1,Gilbert Cedillo,76,PICO UNION NC,OLYMPIC
1-870253941,12/30/2017 02:51:25 PM,12/31/2017 12:00:46 PM,SR Created,OCB,Graffiti Removal,Closed,Mobile App,Android,Y,KYCC,12/31/2017 12:00:33 PM,12/31/2017 12:00:45 PM,Y,N,"RAYMOND AVE AT WASHINGTON BLVD, 90007",,,,,90007,34.039970409,-118.297447359,"(34.039970409, -118.297447359)",633,J,5,South Los Angeles APC,1,Gilbert Cedillo,76,PICO UNION NC,OLYMPIC
