request_id,srnumber,created_date,closed_date,type_id,agency_id,source_id,council_id,region_id,address,latitude,longitude,city_id
4526,1-1524261911,2020-01-02 12:46:00,2020-01-06 15:19:00,7,2,8,90,11,"365 E FOWLING ST, 90293",33.95976313,-118.445634,11
4527,1-1524262521,2020-01-02 12:45:00,2020-01-03 14:03:00,4,2,8,22,9,"434 W 84TH ST, 90003",33.96305991,-118.281523,8
4528,1-1524262551,2020-01-02 12:45:00,2020-01-02 12:50:00,1,4,18,79,1,"EL DORADO AVE AT TYLER ST, 91342",34.30077431,-118.4647254,7
4529,1-1524262671,2020-01-02 12:46:00,2020-01-03 13:50:00,4,2,8,95,12,"1427 N MCDONALD AVE, 90744",33.79162261,-118.2720748,15
4530,1-1524262801,2020-01-02 12:46:00,2020-01-03 14:07:00,7,2,8,98,3,"6030 N OAKDALE AVE, 91367",34.18027574,-118.5651647,3
4531,1-1524263041,2020-01-02 12:47:00,2020-01-02 16:55:00,1,4,18,79,1,"13617 W HUBBARD ST, 91342",34.30797632,-118.4301177,7
4532,1-1524263371,2020-01-02 12:46:00,2020-01-06 12:19:00,4,2,8,60,2,"10820 N AMIGO AVE, 91326",34.26681395,-118.5380786,12
4533,1-1524263396,2020-01-02 12:48:00,2020-01-04 13:53:00,4,2,7,48,11,"11263 W VENICE BLVD, 90066",34.01208286,-118.4191965,11
4534,1-1524263461,2020-01-02 12:46:00,2020-01-04 14:39:00,4,2,8,86,9,"1722 E 107TH ST, 90002",33.93853974,-118.2419563,15
4535,1-1524263501,2020-01-02 12:47:00,2020-01-06 08:56:00,4,2,8,78,1,"7100 W ESTEPA DR, 91042",34.24231746,-118.2863321,7
4536,1-1524263521,2020-01-02 12:47:00,2020-01-03 12:50:00,7,2,8,25,3,"16665 W MOORPARK ST, 91436",34.15981869,-118.4965503,5
4537,1-1524263571,2020-01-02 12:47:00,2020-01-03 12:49:00,4,2,8,23,9,"1041 W 75TH ST, 90044",33.97196946,-118.2932665,8
4538,1-1524263593,2020-01-02 12:47:00,2020-01-21 08:57:00,2,2,7,98,3,"5550 N WINNETKA AVE, 91364",34.17142556,-118.5707374,3
4539,1-1524263691,2020-01-02 12:47:00,2020-01-06 12:53:00,4,2,8,6,8,"2810 E WABASH AVE, 90033",34.05011085,-118.1977275,14
4540,1-1524263841,2020-01-02 12:48:00,2020-01-04 08:10:00,4,2,8,64,1,"12310 W CLOVER ROAD, 91331",34.27752071,-118.40078,7
4541,1-1524263901,2020-01-02 12:48:00,2020-01-02 12:50:00,1,4,18,79,1,"13601 W FOOTHILL BLVD, 91342",34.30698053,-118.4296062,7
4542,1-1524263918,2020-01-02 12:49:00,2020-01-03 15:09:00,1,4,7,21,10,"2210 S LA SALLE AVE, 90018",34.03621158,-118.3057099,8
4543,1-1524263973,2020-01-02 12:49:00,2020-01-21 08:59:00,2,2,7,98,3,"5550 N WINNETKA AVE, 91364",34.17142556,-118.5707374,3
4544,1-1524264031,2020-01-02 12:49:00,2020-01-03 12:49:00,4,2,7,66,1,"9520 N SYLMAR AVE, 91402",34.24342503,-118.4479528,6
4545,1-1524264131,2020-01-02 12:49:00,2020-01-03 15:09:00,4,2,17,25,3,"17436 W MARTHA ST, 91316",34.17300174,-118.5133403,5
4546,1-1524264331,2020-01-02 12:46:00,2020-01-06 14:13:00,5,2,8,78,1,"9436 N HILLHAVEN AVE, 91042",34.24068718,-118.2928955,7
4547,1-1524264541,2020-01-02 12:46:00,2020-01-02 12:50:00,1,4,18,79,1,"SAN FERNANDO ROAD SOUTHWEST RDWY AT BLEEKER ST, 91342",34.29272036,-118.4513462,7
4548,1-1524264651,2020-01-02 12:47:00,2020-01-07 17:24:00,4,2,8,84,11,"209 E SAN JUAN AVE, 90291",33.98989287,-118.472296,11
4549,1-1524264681,2020-01-02 12:47:00,2020-01-08 15:40:00,4,2,8,27,8,"3516 N LOMA LADA DR, 90065",34.10670101,-118.2255275,1
4550,1-1524264911,2020-01-02 12:49:00,2020-01-06 11:42:00,4,2,8,21,10,"2745 S KENWOOD AVE, 90007",34.02953566,-118.2993468,8
4551,1-1524265291,2020-01-02 12:48:00,2020-01-02 12:50:00,1,4,18,95,12,"1502 N FIGUEROA ST, 90744",33.79277711,-118.2820276,15
4552,1-1524265296,2020-01-02 12:48:00,2020-01-02 12:50:00,1,4,18,95,12,"1600 N AVALON BLVD, 90744",33.79541704,-118.2635685,15
4553,1-1524265301,2020-01-02 12:48:00,2020-01-02 12:50:00,1,4,18,95,12,"1135 N AVALON BLVD, 90744",33.78542624,-118.2630158,15
4554,1-1524265308,2020-01-02 12:48:00,2020-01-02 12:50:00,1,4,18,35,12,"16500 S DENVER AVE, 90248",33.88172759,-118.2836558,15
4555,1-1524265314,2020-01-02 12:48:00,2020-01-02 12:50:00,1,4,18,35,12,"16412 S VERMONT AVE, 90247",33.88236036,-118.2912424,15
